source_entity,relationship_type,target_entity,source_document
Kenya Medical Training College,LOCATED_IN,Kenya,Kenya Lavender Economy 25 June 2025.pdf
Green Energy,BELONGS_TO_DOMAIN,Green Economy,South Africa Iron Economy 26 June 2025.pdf
"Artisan d'Art (Potier, Maroquinier, etc.)",REQUIRES_SKILL,Pottery wheel,Senegal Orange Economy 25 June 2025.pdf
Entrepreneurship,REQUIRES_SKILL,Curriculum Modernization and Integration,South Africa Blue Economy 25 June 2025.pdf
"Manager, Business Transformation",HAS_CHARACTERISTIC,Knowledge,Kenya Platinum Economy 26 June 2025.pdf
Developpeur Web (Full-Stack),REQUIRES_SKILL,Agile methodologies,Senegal Orange Economy 25 June 2025.pdf
Midrand,LOCATED_IN,Johannesburg (Gauteng),South Africa Gold Economy 26 June 2025.pdf
Community Development,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Upwork,PART_OF_INDUSTRY,Cybersecurity,South Africa Yellow Economy 25 June 2025.pdf
Telecommunications,PART_OF_INDUSTRY,Network Technician,Kenya Platinum Economy 26 June 2025.pdf
Kente cloth,REQUIRES_SKILL,Kente Weaver,Ghana Orange Economy 25 June 2025.pdf
Occupational Health and Safety (OHS) Trainer,REQUIRES_SKILL,Safe Handling of Waste,Senegal Green Economy 25 June 2025.pdf
BEng/BSc in Civil Engineering,HAS_PREREQUISITE,Water/Wastewater Engineer,South Africa Green Economy 25 June 2025.pdf
Learning Science Manager,PART_OF_INDUSTRY,iHub,Kenya Platinum Economy 26 June 2025.pdf
Water Treatment Plant Operator/Manager,LOCATED_IN,Gauteng,South Africa Green Economy 25 June 2025.pdf
Transport Infrastructure Project,HAS_CHARACTERISTIC,Inelastic,Ghana Iron Economy 26 June 2025.pdf
Inspector (Mechanical),PART_OF_INDUSTRY,Public Service Commission,Kenya Iron Economy 26 June 2025.pdf
UENR,PART_OF_INDUSTRY,Agritech,Ghana Platinum Economy 26 June 2025.pdf
Digital Innovation Manager,LOCATED_IN,Dakar,Senegal Yellow Economy 25 June 2025.pdf
Sound Engineering,HAS_CHARACTERISTIC,Knowledge,South Africa Orange Economy 25 June 2025.pdf
Portfolio Operations Support / Manager,REQUIRES_SKILL,Recruitment,Ethiopia Platinum Economy 26 June 2025.pdf
Risk Management,TEACHES_SKILL,Safety Officer,Senegal Bronze Economy 26 June 2025.pdf
Social Worker,PART_OF_INDUSTRY,CHOC,South Africa Lavender Economy 25 June 2025.pdf
Event Planners,REQUIRES_SKILL,client relations,Kenya Orange Economy 25 June 2025.pdf
Vital Signs Monitoring,PART_OF_INDUSTRY,Hospice,South Africa Lavender Economy 25 June 2025.pdf
e-government specialist,HAS_CHARACTERISTIC,Formal,Kenya Yellow Economy 25 June 2025.pdf
Senegal,HAS_CHARACTERISTIC,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Insurance Sector,LOCATED_IN,Senegal,Senegal Gold Economy 26 June 2025.pdf
Unity/Unreal Engine Programmer,HAS_CHARACTERISTIC,Knowledge,Kenya Orange Economy 25 June 2025.pdf
SME Scale-Up Program,GOVERNED_BY,ADEPME,Senegal Iron Economy 26 June 2025.pdf
Environmental Compliance Officer,REQUIRES_SKILL,Environmental Legislation,South Africa Green Economy 25 June 2025.pdf
Renewable Energy,PART_OF_INDUSTRY,ECG Training Centre,Ghana Green Economy 25 June 2025.pdf
Wind Turbine Technician,REQUIRES_SKILL,control systems,Kenya Green Economy 25 June 2025.pdf
Data Collection,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
"MERL (Monitoring, Evaluation, Research, and Learning) Associate",HAS_CHARACTERISTIC,Gig,Ghana Yellow Economy 25 June 2025.pdf
Vocational Training,INFLUENCED_BY,Ethiopian Education System,Ethiopian University Admission Prerequisites_.pdf
Aquaculture,LOCATED_IN,Kenya,Kenya Blue Economy 25 June 2025.pdf
Informal Apprenticeship,TEACHES_SKILL,Craft Artisan,South Africa Orange Economy 25 June 2025.pdf
Data-Driven Policy,HAS_CHARACTERISTIC,Agile,Senegal Platinum Economy 26 June 2025.pdf
Communication,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Poultry Farm Worker / Attendant,HAS_PREREQUISITE,JHS/SHS,Ghana Bronze Economy 26 June 2025.pdf
Public Sector,INFLUENCED_BY,Formal Employment,Ethiopia Yellow Economy 25 June 2025.pdf
Junior Data Analyst,REQUIRES_SKILL,PyTorch,South Africa Yellow Economy 25 June 2025.pdf
Infrastructure Project,LOCATED_IN,Ghana,Ghana Iron Economy 26 June 2025.pdf
Community Health Worker,LOCATED_IN,Senegal,Senegal Lavender Economy 25 June 2025.pdf
Energy,BELONGS_TO_DOMAIN,Green Economy,Planning The Refracted Economies Framework.pdf
UX/UI Designer,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Platinum Economy 26 June 2025.pdf
Content Creator,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Graphic Designer,HAS_CHARACTERISTIC,Skilled,Kenya Orange Economy 25 June 2025.pdf
Leadership,REQUIRES_SKILL,Digital Product Manager,Senegal Platinum Economy 26 June 2025.pdf
Engineers,REQUIRES_SKILL,AVEVA SCADA Systems,South Africa Yellow Economy 25 June 2025.pdf
Clinical Officer,REQUIRES_SKILL,Procedural Skills,Kenya Lavender Economy 25 June 2025.pdf
Green Shipping,BELONGS_TO_DOMAIN,Green Economy,Kenya Blue Economy 25 June 2025.pdf
Entry Level Developer,HAS_CHARACTERISTIC,Elastic,South Africa Platinum Economy 26 June 2025.pdf
Wildlife Officer,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Ingénieur Projet Énergies Renouvelables,REQUIRES_SKILL,English Proficiency,Senegal Green Economy 25 June 2025.pdf
Data Scientist,LOCATED_IN,Cape Town,South Africa Yellow Economy 25 June 2025.pdf
Digital Economy,GOVERNED_BY,Economic Policymakers,Senegal Platinum Economy 26 June 2025.pdf
Capital Markets & Asset Mgmt,REQUIRES_SKILL,CFA (Chartered Financial Analyst),Kenya Gold Economy 26 June 2025.pdf
Protein Analysis,PART_OF_INDUSTRY,Laboratory Techniques,Ethiopia Platinum Economy 26 June 2025.pdf
Solar Technology,BELONGS_TO_DOMAIN,Green Economy,Senegal Iron Economy 26 June 2025.pdf
Commercial Underwriter,HAS_CHARACTERISTIC,Skilled,South Africa Gold Economy 26 June 2025.pdf
Digital Finance Experts,HAS_CHARACTERISTIC,Skilled,Kenya Blue Economy 25 June 2025.pdf
Monitoring and Evaluation (M&E),HAS_CHARACTERISTIC,Knowledge,Kenya Yellow Economy 25 June 2025.pdf
Draft Creative Economy Policy,IMPLEMENTS,Creative Economy,Kenya Orange Economy 25 June 2025.pdf
Musician / Interpreter,REQUIRES_SKILL,Networking,Senegal Orange Economy 25 June 2025.pdf
National Apprenticeship Programme (NAP),INFLUENCED_BY,Agro-processing,Ghana Bronze Economy 26 June 2025.pdf
Licensing,GOVERNED_BY,MDC,Ghana Lavender Economy 25 June 2025.pdf
Geotechnical Engineer,HAS_PREREQUISITE,Bachelor's Degree,Ghana Bronze Economy 26 June 2025.pdf
ICT,PART_OF_INDUSTRY,Kenya National Digital Master Plan 2022-2032,Kenya Iron Economy 26 June 2025.pdf
Off-Grid Solar Solutions,HAS_CHARACTERISTIC,Knowledge,Kenya Platinum Economy 26 June 2025.pdf
Digital Skills,HAS_PREREQUISITE,E-learning Authoring (Captivate),Kenya Yellow Economy 25 June 2025.pdf
Digital Academies,IMPLEMENTS,Permanent Staff,South Africa Gold Economy 26 June 2025.pdf
Quality Control Technician,PART_OF_INDUSTRY,Manufacturing,Kenya Iron Economy 26 June 2025.pdf
Heavy Equipment Operator,BELONGS_TO_DOMAIN,Construction,Ghana Iron Economy 26 June 2025.pdf
Ghana,IMPLEMENTS,UNESCO Culture|2030 Indicators,Ghana Orange Economy 25 June 2025.pdf
Maintenance Fitter and Turner,LOCATED_IN,Midrand,South Africa Iron Economy 26 June 2025.pdf
Technology Trainer / Bootcamp Instructor,REQUIRES_SKILL,Technical Expertise,Ghana Platinum Economy 26 June 2025.pdf
Creative Industry,LOCATED_IN,Ethiopia,Ethiopia Orange Economy 25 June 2025.pdf
Thiès,LOCATED_IN,Sénégal,Lists of Job Platforms in our Countries.pdf
Creative Problem-Solving,REQUIRES_SKILL,Concept Artist,Ghana Orange Economy 25 June 2025.pdf
Central Bank of Kenya,LOCATED_IN,Kenya,Kenya Gold Economy 26 June 2025.pdf
Ghana,LOCATED_IN,Green Jobs,Ghana Green Economy 25 June 2025.pdf
Occupational Therapist,REQUIRES_SKILL,Treatment Plans,South Africa Lavender Economy 25 June 2025.pdf
mPharma,LOCATED_IN,Ghana,Ghana Lavender Economy 25 June 2025.pdf
Data Professional,REQUIRES_SKILL,Strategic Thinking,Kenya Platinum Economy 26 June 2025.pdf
Engagement,PART_OF_INDUSTRY,Social Services,Ghana Yellow Economy 25 June 2025.pdf
Bank Teller,REQUIRES_SKILL,Advisory,Senegal Gold Economy 26 June 2025.pdf
Kenya National Highways Authority,LOCATED_IN,Kenya,Kenya Yellow Economy 25 June 2025.pdf
Startup Community Coordinator/Manager,HAS_CHARACTERISTIC,Elastic,Ghana Platinum Economy 26 June 2025.pdf
Climate-Smart Agriculture Consultant/Specialist,HAS_CHARACTERISTIC,Salaried,Ghana Green Economy 25 June 2025.pdf
GIS/Remote Sensing Specialist,REQUIRES_SKILL,GIS,Senegal Bronze Economy 26 June 2025.pdf
Creative Field,BELONGS_TO_DOMAIN,Orange Economy,South Africa Orange Economy 25 June 2025.pdf
Part-time Work,BELONGS_TO_DOMAIN,Iron Economy,Lists of Job Platforms in our Countries.pdf
Tea Picker,LOCATED_IN,Central Highlands,Kenya Braonze Economy 25 June 2025.pdf
Licensing,GOVERNED_BY,NMC,Ghana Lavender Economy 25 June 2025.pdf
Agricultural Extension,TEACHES_SKILL,Baraka Agricultural College,Kenya Braonze Economy 25 June 2025.pdf
Natural Sciences Stream,REQUIRES_SKILL,Chemistry,Ethiopian University Admission Prerequisites_.pdf
Construction Jobs,LOCATED_IN,Kenya,Kenya Iron Economy 26 June 2025.pdf
Online Course Creator,PART_OF_INDUSTRY,Online Course Creation,Ethiopia Platinum Economy 26 June 2025.pdf
Transport Planning,REQUIRES_SKILL,Formal Logistics Professionals,Ghana Iron Economy 26 June 2025.pdf
Curiosity,PART_OF_INDUSTRY,R&D Sector,Kenya Platinum Economy 26 June 2025.pdf
Mixologists,LOCATED_IN,Accra,Ghana Blue Economy 25 June 2025.pdf
Teachers,HAS_CHARACTERISTIC,Knowledge,Ghana Yellow Economy 25 June 2025.pdf
Fisheries Officer,HAS_CHARACTERISTIC,Formal,Kenya Blue Economy 25 June 2025.pdf
Jua Kali Artisans,LOCATED_IN,Nairobi,Kenya Braonze Economy 25 June 2025.pdf
Experienced Workers,LEADS_TO,Formal Qualification,Senegal Iron Economy 26 June 2025.pdf
Fishing & Fish Farming,BELONGS_TO_DOMAIN,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Operational Manager,REQUIRES_SKILL,Quality Control,Kenya Green Economy 25 June 2025.pdf
Community Health Workers,BELONGS_TO_DOMAIN,Lavender Economy,South Africa Lavender Economy 25 June 2025.pdf
Unity/Unreal Engine Programmer,HAS_CHARACTERISTIC,Entrepreneurial,Kenya Orange Economy 25 June 2025.pdf
Social_Safeguards_Specialist,HAS_CHARACTERISTIC,Skilled,Senegal Green Economy 25 June 2025.pdf
Safety Manager,REQUIRES_SKILL,Health and Safety Strategy Development,South Africa Iron Economy 26 June 2025.pdf
Cloud Architect,HAS_CHARACTERISTIC,Freelance,South Africa Yellow Economy 25 June 2025.pdf
Business Growth and Development Manager,HAS_CHARACTERISTIC,Formal,Kenya Gold Economy 26 June 2025.pdf
Solar PV Technician,PART_OF_INDUSTRY,Senegrid,Senegal Green Economy 25 June 2025.pdf
Sustainable Tourism Certification Auditor,LOCATED_IN,Private Game Reserves,South Africa Green Economy 25 June 2025.pdf
Domestic Worker,LOCATED_IN,Senegal,Senegal Lavender Economy 25 June 2025.pdf
Ocean Knowledge Consultant,PART_OF_INDUSTRY,Blue Governance,Ghana Blue Economy 25 June 2025.pdf
Strategic Advisor,HAS_CHARACTERISTIC,Elastic,Senegal Platinum Economy 26 June 2025.pdf
Coordinateur de Défilé de Mode,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Financement vert,BELONGS_TO_DOMAIN,Green Economy,Senegal Green Economy 25 June 2025.pdf
FinTech,BELONGS_TO_DOMAIN,Gold Economy,South Africa Gold Economy 26 June 2025.pdf
Health Workforce,HAS_CHARACTERISTIC,Skilled,Senegal Lavender Economy 25 June 2025.pdf
Educateur Specialisé,HAS_CHARACTERISTIC,Skilled,Senegal Lavender Economy 25 June 2025.pdf
Farm Hand,HAS_CHARACTERISTIC,Informal,Ghana Bronze Economy 26 June 2025.pdf
Kenya,LOCATED_IN,Kenyan Government,Kenya Orange Economy 25 June 2025.pdf
Quality Assurance Positions,REQUIRES_SKILL,Food Technology,Ghana Blue Economy 25 June 2025.pdf
Forestry,BELONGS_TO_DOMAIN,Bronze Economy,South Africa Green Economy 25 June 2025.pdf
Financial Planning Analysis,HAS_CHARACTERISTIC,Knowledge,Ghana Platinum Economy 26 June 2025.pdf
Virtual Event Managers and Producers,HAS_CHARACTERISTIC,Informal,Ghana Orange Economy 25 June 2025.pdf
Creative Entrepreneurship,LEADS_TO,Artisan,Ethiopia Orange Economy 25 June 2025.pdf
Musician/Vocalist,REQUIRES_SKILL,Stage presence,Ghana Orange Economy 25 June 2025.pdf
Fikadu Asfaw & Associates (FALO),PART_OF_INDUSTRY,Manufacturing,Ethiopia Platinum Economy 26 June 2025.pdf
Digital Literacy,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
Communication,PART_OF_INDUSTRY,Soft Skills,Ghana Platinum Economy 26 June 2025.pdf
Expert en matière de Dynamique de Population,HAS_CHARACTERISTIC,Elastic,Senegal Yellow Economy 25 June 2025.pdf
Registered Nurses,HAS_CHARACTERISTIC,Formal,South Africa Lavender Economy 25 June 2025.pdf
Coding Bootcamp Instructor,REQUIRES_SKILL,Mentoring,Senegal Platinum Economy 26 June 2025.pdf
Arakele Fashion Design College,LOCATED_IN,Ethiopia,Ethiopia Orange Economy 25 June 2025.pdf
Advertising Agencies,PART_OF_INDUSTRY,Visual & Digital Arts,Ghana Orange Economy 25 June 2025.pdf
Financial Advisor,REQUIRES_SKILL,Communication,South Africa Gold Economy 26 June 2025.pdf
"Culture, Arts, Tourism, Hospitality, and Sport Sector Education and Training Authority (CATHSSETA)",IMPLEMENTS,Archives and Records Management,South Africa Orange Economy 25 June 2025.pdf
Event Manager / Coordinator,HAS_CHARACTERISTIC,Gig,South Africa Orange Economy 25 June 2025.pdf
Tema Freezone,LOCATED_IN,Greater Accra & Tema,Ghana Iron Economy 26 June 2025.pdf
Python,TEACHES_SKILL,Data Analysis and Modeling,Ethiopia Platinum Economy 26 June 2025.pdf
Demand-Driven Curriculum Review,INFLUENCED_BY,job market needs,Ethiopia Yellow Economy 25 June 2025.pdf
Mining and Mineral Processing Engineering,BELONGS_TO_DOMAIN,Bronze Economy,Kenya Braonze Economy 25 June 2025.pdf
Nairobi Metropolitan Region,LOCATED_IN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Beach Operators,HAS_CHARACTERISTIC,Physical,Kenya Blue Economy 25 June 2025.pdf
Expert en matière de Dynamique de Population,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Kabete National Polytechnic,TEACHES_SKILL,Welder,Kenya Iron Economy 26 June 2025.pdf
Humanitarian Sector,PART_OF_INDUSTRY,OCHA,Kenya Yellow Economy 25 June 2025.pdf
Infrastructure Development,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Researcher,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Digital Marketing Manager,REQUIRES_SKILL,Adaptability,Ghana Orange Economy 25 June 2025.pdf
Northern Ghana,PART_OF_INDUSTRY,Upper West Region,Ghana Green Economy 25 June 2025.pdf
Retail & Commercial Banking,REQUIRES_SKILL,Communication,South Africa Gold Economy 26 June 2025.pdf
Wood Carver,BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
Software QA,REQUIRES_SKILL,Insomnia,Kenya Platinum Economy 26 June 2025.pdf
Technician (Instrumentation & Control),REQUIRES_SKILL,N.Dip/B.Tech (Electrical/Mechatronics),South Africa Iron Economy 26 June 2025.pdf
Agricultural Machinery Maintenance,TEACHES_SKILL,Asafoods Limited,Ghana Bronze Economy 26 June 2025.pdf
Eco-Lodge Manager/Operator,HAS_CHARACTERISTIC,Formal,South Africa Green Economy 25 June 2025.pdf
Project Management,LOCATED_IN,Western Cape,South Africa Green Economy 25 June 2025.pdf
Internships,PART_OF_INDUSTRY,NGO Sector,Kenya Yellow Economy 25 June 2025.pdf
Sustainable Agriculture,INFLUENCED_BY,Climate Resilience,Senegal Green Economy 25 June 2025.pdf
Risk and Compliance Associate,BELONGS_TO_DOMAIN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Regional Lead (User Growth),LOCATED_IN,Senegal,Senegal Gold Economy 26 June 2025.pdf
Green Economy,REQUIRES_SKILL,Technical and Professional Skills,South Africa Green Economy 25 June 2025.pdf
Market Access,INFLUENCED_BY,Sustainable Agriculture Sector,Ghana Green Economy 25 June 2025.pdf
Adjunct Faculty - Department of Environmental Health,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Green Economy 25 June 2025.pdf
Art Director,REQUIRES_SKILL,Communication,Ghana Orange Economy 25 June 2025.pdf
Security Professional,REQUIRES_SKILL,COBIT,Kenya Platinum Economy 26 June 2025.pdf
Eco-Lodge Manager/Operator,LOCATED_IN,Mpumalanga,South Africa Green Economy 25 June 2025.pdf
Creative_Sector,BELONGS_TO_DOMAIN,Orange_Economy,Senegal Orange Economy 25 June 2025.pdf
Financial Systems,BELONGS_TO_DOMAIN,Gold Economy,South Africa Gold Economy 26 June 2025.pdf
Sylvatrop Consulting,PART_OF_INDUSTRY,Environnement,Senegal Green Economy 25 June 2025.pdf
Smallholder Agriculture,PART_OF_INDUSTRY,Ghana's Bronze Economy,Ghana Bronze Economy 26 June 2025.pdf
Urbanisme,HAS_CHARACTERISTIC,Skilled,Senegal Yellow Economy 25 June 2025.pdf
Mobile-friendly Certification Programs,INFLUENCED_BY,Informal,Ghana Iron Economy 26 June 2025.pdf
Geriatric Care,LOCATED_IN,Ashanti Region,Ghana Gold Economy 26 June 2025.pdf
Heavy Duty Mechanic,LOCATED_IN,Western Region,Ghana Iron Economy 26 June 2025.pdf
Jobberman,LOCATED_IN,Accra,Ghana Platinum Economy 26 June 2025.pdf
Registered Nurse,REQUIRES_SKILL,Pressure Care,South Africa Lavender Economy 25 June 2025.pdf
Kingdom Securities,PART_OF_INDUSTRY,Banks,Kenya Gold Economy 26 June 2025.pdf
Registered Nurse,PART_OF_INDUSTRY,Public Service Commission,Kenya Lavender Economy 25 June 2025.pdf
Smallholder Farmers,LOCATED_IN,Kenya,Kenya Green Economy 25 June 2025.pdf
Carbon_Accounting_and_Verification_Specialist,HAS_CHARACTERISTIC,Skilled,Senegal Green Economy 25 June 2025.pdf
Marine Engineering,LOCATED_IN,Volta Region,Ghana Green Economy 25 June 2025.pdf
Poultry Farming,LOCATED_IN,Ghana,Ghana Bronze Economy 26 June 2025.pdf
Data Science Developer,HAS_CHARACTERISTIC,Elastic,South Africa Platinum Economy 26 June 2025.pdf
Graphiste,HAS_CHARACTERISTIC,Entrepreneurial,Senegal Orange Economy 25 June 2025.pdf
Deck Officer,HAS_PREREQUISITE,Nautical Science,South Africa Blue Economy 25 June 2025.pdf
Wind Turbine Technician,REQUIRES_SKILL,renewable energy technology,Kenya Blue Economy 25 June 2025.pdf
Saint-Louis,LOCATED_IN,Senegal,Senegal Orange Economy 25 June 2025.pdf
Inspector (Building),REQUIRES_SKILL,Drawing Interpretation,Kenya Iron Economy 26 June 2025.pdf
Analysts,BELONGS_TO_DOMAIN,Gold Economy,Senegal Gold Economy 26 June 2025.pdf
Innovation Program Coordinator,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Natural Sciences Stream,LEADS_TO,Technology,Ethiopian University Admission Prerequisites_.pdf
Data Science Research Assistant,REQUIRES_SKILL,Statistical Analyses,Kenya Yellow Economy 25 June 2025.pdf
Cyber Security Analyst,HAS_CHARACTERISTIC,Elastic,Ethiopia Platinum Economy 26 June 2025.pdf
Medical Representatives,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
MESRI,PART_OF_INDUSTRY,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Senegal Undergraduate Admission Prerequisites_.pdf
Rust programming,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Yellow Economy 25 June 2025.pdf
Ecosystem Community Manager,REQUIRES_SKILL,Fostering a Collaborative Environment,Ethiopia Platinum Economy 26 June 2025.pdf
Private Wealth,LOCATED_IN,Cape Town,South Africa Gold Economy 26 June 2025.pdf
Technical Advisor – Sustainability,PART_OF_INDUSTRY,GIZ,Ghana Green Economy 25 June 2025.pdf
Augmented/Virtual Reality (AR/VR) Developer,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
Management Consultant (Financial Services),HAS_CHARACTERISTIC,Formal,South Africa Gold Economy 26 June 2025.pdf
Counties,LOCATED_IN,Kenya,Kenya Green Economy 25 June 2025.pdf
Rural_Electrification_and_Renewable_Energy_Corporation,LOCATED_IN,Kenya,Kenya Green Economy 25 June 2025.pdf
High-Skill Freelance Professionals,BELONGS_TO_DOMAIN,Gold Economy,South Africa Gold Economy 26 June 2025.pdf
Plant Operator,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
C++ Developers,HAS_CHARACTERISTIC,Elastic,Ghana Platinum Economy 26 June 2025.pdf
Software Developer,HAS_CHARACTERISTIC,Elastic,Senegal Platinum Economy 26 June 2025.pdf
RENAC,LOCATED_IN,Sénégal,Senegal Green Economy 25 June 2025.pdf
Data Scientists,PART_OF_INDUSTRY,Wave,Senegal Gold Economy 26 June 2025.pdf
Creative Workers,BELONGS_TO_DOMAIN,Orange Economy,Kenya Orange Economy 25 June 2025.pdf
Cloud Engineering,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
Senior Mechanical Technician,LOCATED_IN,Industrial Areas,Kenya Iron Economy 26 June 2025.pdf
